"","Tool","Cutoff","Rank","Value","OriginalValue","TP","FN","FP","TN","Precision","Recall","F1score","TPR","TNR","FPR"
"1","Dorado",1,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"2","Dorado",1.07699395395863,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"3","Dorado",1.15991597686345,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"4","Dorado",1.24922249418196,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"5","Dorado",1.3454050733831,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"6","Dorado",1.44899312965887,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"7","Dorado",1.5605568399702,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"8","Dorado",1.6807102814567,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"9","Dorado",1.81011481148498,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"10","Dorado",1.9494827079403,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999610694987,3.89305012691343e-07
"11","Dorado",2.09958108979861,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221389975,7.78610025382687e-07
"12","Dorado",2.26123613955898,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221389975,7.78610025382687e-07
"13","Dorado",2.43533765077779,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221389975,7.78610025382687e-07
"14","Dorado",2.6228439257355,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221389975,7.78610025382687e-07
"15","Dorado",2.82478705019426,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221389975,7.78610025382687e-07
"16","Dorado",3.04227857427987,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832084962,1.16791503807403e-06
"17","Dorado",3.27651563075731,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832084962,1.16791503807403e-06
"18","Dorado",3.52878752437659,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832084962,1.16791503807403e-06
"19","Dorado",3.80048282855824,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832084962,1.16791503807403e-06
"20","Dorado",4.09309702848083,4,0.999999,1,0,3848,4,2568676,0,0,0,0,0.999998442779949,1.55722005076537e-06
"21","Dorado",4.40824075263991,4,0.999999,1,0,3848,4,2568676,0,0,0,0,0.999998442779949,1.55722005076537e-06
