"","set","name","PRC","ROC"
"1","trimed.df.WT","Tombo_levelcom",0.187,0.928
"2","trimed.df.WT","Tombo_modelcom",0.021,0.81
"3","trimed.df.WT","Nanodisco",0.5,0.5
"4","trimed.df.WT","Tombo_denovo",0.004,0.688
"5","trimed.df.WT","mCaller",0.006,0.72
"6","trimed.df.WT","Dorado",0.248,0.931
"7","trimed.df.WT","Hammerhead",0.5,0.5
"8","trimed.df.MU","Tombo_levelcom",0.302,0.901
"9","trimed.df.MU","Tombo_modelcom",0.053,0.881
"10","trimed.df.MU","Nanodisco",0.5,0.5
"11","trimed.df.MU","Tombo_denovo",0.006,0.871
"12","trimed.df.MU","mCaller",0.003,0.724
"13","trimed.df.MU","Dorado",0.013,0.803
"14","trimed.df.MU","Hammerhead",0.5,0.5
"15","trimed.df.LOST","Tombo_levelcom",0.621,0.976
"16","trimed.df.LOST","Tombo_modelcom",0.025,0.86
"17","trimed.df.LOST","Nanodisco",0.253,0.64
"18","trimed.df.LOST","Tombo_denovo",0.238,0.675
"19","trimed.df.LOST","mCaller",0.372,0.524
"20","trimed.df.LOST","Dorado",0.285,0.583
"21","trimed.df.LOST","Hammerhead",0.326,0.906
