"","Chromosome","Position","Strand","OriginalValue","Rank","Value"
"1","chromosome",30788,"-",1,1,0.999999
"2","chromosome",34504,"-",1,2,0.999999
"3","chromosome",95361,"-",1,3,0.999999
"4","chromosome",220105,"-",1,4,0.999999
"5","chromosome",222967,"-",1,5,0.999999
"6","chromosome",251232,"-",1,6,0.999999
"7","chromosome",560658,"-",1,7,0.999999
"8","chromosome",594696,"+",1,8,0.999999
"9","chromosome",601239,"+",1,9,0.999999
"10","chromosome",624345,"+",1,10,0.999999
"11","chromosome",988723,"-",1,11,0.999999
"12","chromosome",1196100,"-",1,12,0.999999
"13","chromosome",1197647,"+",1,13,0.999999
"14","chromosome",1398081,"-",1,14,0.999999
"15","chromosome",1511507,"+",1,15,0.999999
"16","chromosome",1567200,"-",1,16,0.999999
"17","chromosome",1613307,"+",1,17,0.999999
"18","chromosome",1681698,"+",1,18,0.999999
"19","chromosome",1749720,"-",1,19,0.999999
"20","chromosome",1879208,"+",1,20,0.999999
"21","chromosome",1907044,"+",1,21,0.999999
"22","chromosome",1933875,"+",1,22,0.999999
"23","chromosome",2035294,"-",1,23,0.999999
"24","chromosome",2075552,"+",1,24,0.999999
"25","chromosome",2113596,"+",1,25,0.999999
"26","chromosome",2142020,"+",1,26,0.999999
"27","chromosome",2164516,"+",1,27,0.999999
"28","chromosome",2181471,"+",1,28,0.999999
"29","chromosome",2181473,"+",1,29,0.999999
"30","chromosome",2322761,"+",1,30,0.999999
"31","chromosome",2370546,"+",1,31,0.999999
"32","chromosome",2399239,"+",1,32,0.999999
"33","chromosome",2410235,"+",1,33,0.999999
"34","chromosome",2673733,"+",1,34,0.999999
"35","chromosome",2688044,"+",1,35,0.999999
"36","chromosome",2799798,"+",1,36,0.999999
"37","chromosome",2919876,"-",1,37,0.999999
"38","chromosome",2971216,"-",1,38,0.999999
"39","chromosome",3105123,"-",1,39,0.999999
"40","chromosome",3109519,"+",1,40,0.999999
"41","chromosome",3161384,"+",1,41,0.999999
"42","chromosome",3221841,"-",1,42,0.999999
"43","chromosome",3323574,"+",1,43,0.999999
"44","chromosome",3556550,"-",1,44,0.999999
"45","chromosome",3662197,"-",1,45,0.999999
"46","chromosome",3668962,"+",1,46,0.999999
"47","chromosome",3701878,"-",1,47,0.999999
"48","chromosome",3907827,"-",1,48,0.999999
"49","chromosome",4479799,"+",1,49,0.999999
"50","chromosome",4739815,"+",1,50,0.999999
"51","chromosome",4739843,"+",1,51,0.999999
"52","chromosome",4739844,"+",1,52,0.999999
"53","chromosome",4739867,"+",1,53,0.999999
"54","chromosome",4739879,"+",1,54,0.999999
"55","chromosome",4739889,"+",1,55,0.999999
"56","chromosome",4739891,"+",1,56,0.999999
"57","chromosome",4740058,"-",1,57,0.999999
"58","chromosome",4740059,"-",1,58,0.999999
"59","chromosome",4740813,"+",1,59,0.999999
"60","chromosome",4740820,"+",1,60,0.999999
"61","chromosome",4747727,"-",1,61,0.999999
"62","chromosome",4803737,"-",1,62,0.999999
"63","chromosome",4876630,"+",1,63,0.999999
"64","chromosome",4966616,"+",1,64,0.999999
"65","chromosome",5063649,"+",1,65,0.999999
"66","chromosome",5400943,"+",1,66,0.999999
"67","chromosome",5407596,"-",1,67,0.999999
"68","chromosome",5926234,"-",1,68,0.999999
"69","chromosome",5928107,"+",1,69,0.999999
"70","small.plasmid",465,"-",1,70,0.999999
"71","small.plasmid",633,"-",1,71,0.999999
"72","small.plasmid",1731,"-",1,72,0.999999
"73","small.plasmid",1975,"-",1,73,0.999999
"74","small.plasmid",2603,"-",1,74,0.999999
"75","small.plasmid",6995,"+",1,75,0.999999
"76","small.plasmid",7095,"-",1,76,0.999999
"77","small.plasmid",7115,"-",1,77,0.999999
"78","small.plasmid",7163,"-",1,78,0.999999
"79","small.plasmid",14402,"-",1,79,0.999999
"80","small.plasmid",14910,"+",1,80,0.999999
"81","small.plasmid",14984,"+",1,81,0.999999
"82","small.plasmid",15094,"+",1,82,0.999999
"83","small.plasmid",15406,"+",1,83,0.999999
"84","small.plasmid",15762,"+",1,84,0.999999
"85","small.plasmid",16073,"-",1,85,0.999999
"86","small.plasmid",16593,"-",1,86,0.999999
"87","small.plasmid",17342,"+",1,87,0.999999
"88","small.plasmid",18825,"-",1,88,0.999999
"89","small.plasmid",19537,"-",1,89,0.999999
"90","small.plasmid",19538,"-",1,90,0.999999
"91","small.plasmid",19542,"+",1,91,0.999999
"92","small.plasmid",19905,"+",1,92,0.999999
"93","small.plasmid",20551,"+",1,93,0.999999
"94","small.plasmid",20589,"-",1,94,0.999999
"95","small.plasmid",20603,"-",1,95,0.999999
"96","small.plasmid",20873,"-",1,96,0.999999
"97","small.plasmid",20883,"-",1,97,0.999999
"98","small.plasmid",21011,"-",1,98,0.999999
"99","small.plasmid",21450,"-",1,99,0.999999
"100","small.plasmid",21615,"+",1,100,0.999999
"101","small.plasmid",21642,"+",1,101,0.999999
"102","small.plasmid",22449,"+",1,102,0.999999
"103","small.plasmid",23211,"+",1,103,0.999999
"104","small.plasmid",23445,"+",1,104,0.999999
